id:1,锈渍铁剑,下一次造成的伤害提升25%（血量低于10时才能使用）
id:504,金虹道袍,略微提升吸收到金系灵气的概率
id:505,竹山道袍,略微提升吸收到木系灵气的概率
id:506,星河道袍,略微提升吸收到水系灵气的概率
id:507,离火道袍,略微提升吸收到火系灵气的概率
id:508,化尘道袍,略微提升吸收到土系灵气的概率
id:509,冰灵符,使受到的火系伤害-1
id:510,镇土符,使受到的土系伤害-1
id:511,金甲符,使受到的木系伤害-1
id:601,避火袍,使受到的火系伤害-9
id:602,御灵盾,回合结束时，获得【护罩】*14
id:603,化血盾,回合结束时，损失6点生命值，获得【护罩】*20
id:604,回春袍,回合结束时，若是血量为10%以下，恢复20点生命值
id:605,冰灵面纱,使受到的神识系伤害-2
id:606,阴磷甲,每次受到伤害时，有30%的几率使敌方获得【中毒】*1
id:607,乌靴,遁速+2
id:701,伏魔甲,回合结束时，获得【护罩】*24
id:702,青光盾,每场战斗受到的第一次伤害-30
id:703,乌云兜,遁速+5
id:704,凤血魔袍,免疫3点以下的所有伤害
id:801,青溪法袍,有20%几率回避所有伤害
id:802,三阳道袍,受到的金系伤害降低50%
id:803,驱厄灵袍,受到的木系伤害降低50%
id:804,避水法袍,受到的水系伤害降低50%
id:805,避火法袍,受到的火系伤害降低50%
id:806,长青道袍,受到的土系伤害降低50%
id:807,六合镜,抵挡每回合的第一次伤害
id:808,太虚法袍,此物品已被删除
id:901,元始幡,此物品已被删除
id:1001,三宝玉如意,每次使用【凝神咒】时，额外获得3点神识
id:1002,碧血珠,血量上限+20
id:1003,五毒珠,回合开始时，敌方获得【中毒】*5
id:1004,破土令,
id:1005,通灵宝玉,回合结束时，若你在本回合使用五次以上技能，吸收2点灵气
id:1006,金刚舍利,回合开始时，获得一点金系灵气
id:1007,碧落钟,回合开始时，获得一点木系灵气
id:1008,水灵丝,回合开始时，获得一点水系灵气
id:1009,麒麟玉,回合开始时，获得一点火系灵气
id:1010,聚尘珠,回合开始时，获得一点土系灵气
id:1011,水心珠,每使用一次水系技能，恢复两点生命
id:1012,五色华光,当你使用消耗大于等于5点灵气的技能时，吸收一点灵气
id:1013,避毒珠,回合开始时，移除自身【中毒】*18
id:1014,避火珠,回合结束时，移除自身【灼烧】*18
id:1015,避水珠,每次使用技能时，移除自身【霜冻】*1
id:1016,完璧吴魁,每次受到伤害时，移除自身【易伤】*1
id:1017,光洁之石,每次使用技能时，移除自身【缠绕】*1
id:1018,星辰泪,战斗胜利时，恢复相当于自身血量上限25%的生命值。
id:1101,虚天鼎,此物品已被删除（不要在用修改器了Orz）
id:1102,雪晶珠,此物品已被删除（不要在用修改器了Orz）
id:1103,六根清净竹,此物品已被删除（不要在用修改器了Orz）
id:1104,弑灵印,此物品已被删除（不要在用修改器了Orz）
id:1105,汲血杖,此物品已被删除（不要在用修改器了Orz）
id:1106,玉净瓶,此物品已被删除（不要在用修改器了Orz）
id:1107,太极图,此物品已被删除（不要在用修改器了Orz）
id:1108,落魄镜,此物品已被删除（不要在用修改器了Orz）
id:1109,无名残剑,此物品已被删除（不要在用修改器了Orz）
id:1201,番天印,此物品已被删除（不要在用修改器了Orz）
id:1202,养魂木,此物品已被删除（不要在用修改器了Orz）
id:1203,混元金斗,此物品已被删除（不要在用修改器了Orz）
id:1204,四象蟠龙带,此物品已被删除（不要在用修改器了Orz）
id:1300,金影剑,主动：造成12点金系伤害
id:1301,明鑫环,主动：获得【振金】*6
id:1302,神鑫针,主动：造成2段1点金系伤害
id:1303,金霆剑,主动：造成10点金系伤害
id:1304,金酝剑,主动：造成10点金系伤害。
id:1305,闇鑫环,主动：下一次金系技能伤害+10
id:1306,金霆环,主动：下一次金系技能伤害+10。
id:1307,天罡金璃剑,主动：对敌方施加【易伤】*1。
id:1308,天鑫尺,主动：自己获得【易伤】*1，本回合金系技能伤害+1，对敌方施加【易伤】*1
id:1309,灵锋尺,主动：自身受到9点伤害，获得【蓄势】*40
id:1310,玄鑫针,主动：造成3段1点金系伤害
id:1311,破浪金羽剑,主动：造成4点金系伤害，对敌方施加【易伤】*2
id:1312,金羽环,主动：获得【振金】*36
id:1313,千鹤金缕剑,主动：造成8点金系伤害，对敌方施加【易伤】*1
id:1314,鑫锋尺,主动：获得【蓄势】*40
id:1315,鑫阙环,主动：获得【振金】*60
id:1316,金虹尺,主动：本回合金系技能伤害+2
id:1317,明锋尺,主动：获得【蓄势】*100
id:1318,天心金虹剑,主动：自己获得【易伤】*2，造成12点金系伤害，对敌方施加【易伤】*5
id:1319,天晶尺,主动：本回合金系技能伤害+3
id:1320,锋露剑,主动：自己获得【易伤】*1，造成4点金水系符合伤害，对敌方施加【易伤】*2，对敌方施加【霜冻】*4
id:1321,金缕针,主动：造成5段3点金系伤害
id:1322,天玄灵鑫剑,主动：造成24点金系伤害，对敌方施加【易伤】*4
id:1323,太玄金锋剑,主动：造成104点金系伤害
id:1324,玄灵金缕尺,主动：获得【蓄势】*170
id:1325,天罡鎏金剑,主动：造成4点金系伤害，对敌方施加【易伤】*7
id:1326,千鹤灵鑫针,主动：造成7段4点金系伤害。
id:1327,锋心尺,主动：获得【驭金】*5
id:1328,中执,主动：获得【驭剑】*3
id:1329,光流,主动：获得【振金】*18
id:1330,虹,主动：获得【蓄势】*20、【护罩】*10
id:1400,木花环,主动：自身获得【振木】*6
id:1401,竹空剑,主动：对敌方施加【缠绕】*1
id:1402,幽毒环,主动：对敌方施加【中毒】*1
id:1403,暗毒针,主动：对敌方施加【中毒】*1
id:1404,木缕剑,主动：造成10点木系伤害
id:1405,木霞剑,主动：造成2点木系伤害，对敌方施加【缠绕】*2
id:1406,木丝剑,主动：造成6点木系伤害，对敌方施加【缠绕】*2
id:1407,古森尺,主动：本回合木系技能伤害+1
id:1408,玄春尺,主动：恢复生命值14点
id:1409,幽影针,主动：对自身造成9点伤害，对敌方施加【中毒】*5
id:1410,木氤剑,主动：对敌方施加【缠绕】*6
id:1411,歧木环,主动：下一次木系技能伤害+12，对敌方施加【中毒】*1
id:1412,木魄剑,主动：对敌方施加【缠绕】*5
id:1413,天竹尺,主动：本回合木系技能伤害+2
id:1414,鬼木环,主动：下一次木系技能伤害+6，对敌方施加【中毒】*3
id:1415,木羽针,主动：自己获得【中毒】*4，敌方获得【中毒】*9
id:1416,回春尺,主动：恢复生命值60点
id:1417,灵木环,主动：自身受到18点伤害，获得【振木】*48
id:1418,冥毒针,主动：对敌方施加【中毒】*15
id:1419,青柳木焰剑,主动：造成32点木火系复合伤害，对敌方施加【缠绕】*4【灼烧】*4
id:1420,木灵尺,主动：本回合木系技能伤害+3
id:1421,幽泉古木环,主动：下一次木系技能伤害+12，对敌方施加【中毒】*4
id:1422,木燚环,主动：敌方获得【中毒】*3
id:1423,炎林环,主动：敌方获得【中毒】*3，【灼烧】*3
id:1424,木林剑,主动：造成88点木系伤害
id:1425,玄木尺,主动：恢复生命值52点
id:1426,太乙幽木环,主动：下一次木系技能伤害+16，对敌方施加【中毒】*6
id:1427,青龙剑,主动：造成72点木系伤害，对敌方施加【缠绕】*24
id:1428,青灵尺,主动：本回合木系技能伤害+5
id:1429,飞花,主动：敌方获得【灼烧】*1，【缠绕】*1，【霜冻】*1
id:1430,虬木,主动：自己获得【缠绕】*2，敌方获得【缠绕】*5
id:1431,青蛇,主动：自己获得【中毒】*2，敌方获得【中毒】*5
id:1500,水灵剑,主动：造成6点水系伤害
id:1501,暗冰剑,主动：造成4点水系伤害，对敌方施加【霜冻】*1
id:1502,水鳞环,主动：下一次水系技能伤害+6
id:1503,重浪针,主动：造成2段1点水系伤害
id:1504,幻灵剑,主动：造成10点水系伤害
id:1505,玄冰剑,主动：造成2点水木系复合伤害，对敌方施加【霜冻】*1【缠绕】*1
id:1506,水月环,主动：下一次水系技能伤害+10
id:1507,幻霜剑,主动：自身获得【霜冻】*4，造成2点水系伤害，对敌方施加【霜冻】*5
id:1508,歧水尺,主动：本回合水系技能伤害+1
id:1509,水疗环,主动：自身受到9点伤害，下一次水系技能伤害+1，获得【疗】*6
id:1510,幻浪剑,主动：造成18点水系伤害
id:1511,玄淼剑,主动：造成4点水系伤害，对敌方施加【霜冻】*4
id:1512,幻流尺,主动：获得【驭水】*3
id:1513,寒鑫剑,主动：造成2点金水系符合伤害，对敌方施加【霜冻】*2
id:1514,流丝环,主动：获得【疗】*6
id:1515,玄浪剑,主动：造成24点水系伤害
id:1516,灵水尺,主动：本回合水系技能伤害+2
id:1517,飞瀑针,主动：造成4段2点水属性伤害。
id:1518,闇水剑,主动：造成6点水系伤害，对敌方施加【霜冻】*3
id:1519,愈灵尺,主动：获得【疗】*12
id:1520,影霜剑,主动：造成24点水木系复合伤害，对敌方施加【霜冻】*3【缠绕】*6
id:1521,玄水尺,主动：本回合水系技能伤害+6
id:1522,飞淼剑,主动：造成88点水系伤害
id:1523,玄冰剑,主动：造成12点水系伤害，对敌方施加【霜冻】*18
id:1524,重水尺,主动：本回合水系技能伤害+5
id:1525,愈淼环,主动：下一次水系技能伤害+15，获得【疗】*30
id:1526,辰星剑,主动：造成180点水剑系伤害
id:1527,星河,主动：造成36点水剑系伤害
id:1528,漪涟,主动：获得【驭水】*1、【护罩】*6
id:1529,初寒,主动：对敌方施加【霜冻】*8
id:1600,火焰剑,主动：造成18点火系伤害
id:1601,火云剑,主动：自身获得【灼烧】*2，对敌方施加【灼烧】*3
id:1602,火铜环,主动：自身受到9点伤害，下一次火系技能伤害+15
id:1603,火蕴剑,主动：造成10点火系伤害
id:1604,火凰剑,主动：造成4点火系伤害，对敌方施加【灼烧】*1
id:1605,灵焰环,主动：下一次火系技能伤害+4，对敌方施加【灼烧】*1
id:1606,玄燚剑,主动：造成8点火系伤害，对敌方施加【灼烧】*1
id:1607,神火尺,主动：本回合火系技能伤害+1
id:1608,化焰尺,主动：获得【化焰】*2
id:1609,焰魄环,主动：下一次火系技能伤害+8，对敌方施加【灼烧】*1
id:1610,焰灵针,主动：对自身造成9点伤害，获得【焰】*5
id:1611,焰云剑,主动：自身获得【灼烧】*3，造成6点火系伤害，对敌方施加【灼烧】*5
id:1612,火璃环,主动：【灼烧】*9
id:1613,叠炎针,主动：造成4段2点火属性伤害
id:1614,琉焰剑,主动：造成6点火系伤害，对敌方施加【灼烧】*3
id:1615,焰心尺,主动：本回合火系技能伤害+2
id:1616,灵燚剑,主动：造成6点火系伤害，对敌方施加【灼烧】*4
id:1617,火阳环,主动：【灼烧】*15
id:1618,焰灵剑,主动：自身获得【灼烧】*4，造成6点火系伤害，对敌方施加【灼烧】*9
id:1619,冥燚尺,主动：本回合火系技能伤害+3
id:1620,炼火匣,主动：吸收两点火系灵气
id:1621,焰毒针,主动：敌方获得【中毒】*3，自身获得【焰】*6
id:1622,冥燚针,主动：敌方获得【中毒】*2，自身获得【焰】*12
id:1623,化焰尺,主动：自身获得【灼烧】*1、【化焰】*3
id:1624,焰璃尺,主动：获得【化焰】*9
id:1625,玄焰尺,主动：获得【化焰】*7
id:1626,燚灵剑,主动：造成132点火系伤害
id:1627,玄火环,主动：对敌方施加【灼烧】*16
id:1628,神焰剑,主动：造成24点火系伤害，对敌方施加【灼烧】*24
id:1629,玄火匣,主动：自身受到6点伤害，吸收两点火系灵气
id:1630,火柳,主动：造成2段3点伤害，自身获得【焰】*3
id:1631,苍炎,主动：自身获得【灼烧】*2，对敌方施加【灼烧】*5
id:1632,赤离,主动：获得【化焰】*2、【护罩】*2
id:1700,化尘环,主动：获得【尘】*6
id:1701,化沙针,主动：敌方获得【沙】*6
id:1702,岩晶环,主动：下一次土系技能伤害+10
id:1703,缚沙针,主动：敌方获得【沙】*10
id:1704,灵沙剑,主动：造成4点土系伤害，敌方获得【沙】*10
id:1705,聚尘环,主动：下一次土系技能伤害+8，获得【尘】*10
id:1706,土灵尺,主动：获得【振土】*18
id:1707,土障尺,主动：获得【减伤】*3
id:1708,悬沙剑,主动：造成5点土系伤害，敌方获得【沙】*13
id:1709,尘岩环,主动：下一次土系技能伤害+8，获得【尘】*6
id:1710,炼尘环,主动：获得【尘】*24
id:1711,重土针,主动：获得【减伤】*6
id:1712,化沙匣,主动：吸收一点土系灵气
id:1713,凝尘环,主动：获得【尘】*44
id:1714,重土环,主动：下一次土系技能伤害+52
id:1715,岩障尺,主动：获得【减伤】*12
id:1716,岩灵环,主动：获得【振土】*6
id:1717,峦岩环,主动：获得【振土】*30
id:1718,落尘,主动：获得【尘】*18，自身获得【灼烧】*1，对敌方施加【灼烧】*1
id:1800,锐锋剑,主动：获得【剑气】*2
id:1801,玄天剑,主动：造成6点剑系伤害，获得【剑气】*5
id:1802,天罡剑,主动：造成18点剑系伤害，获得【剑气】*9
id:1803,凌天剑,主动：造成30点剑系伤害，获得【剑气】*17
id:1804,玄真剑,主动：造成36点剑系伤害，获得【剑气】*20
id:1805,真元剑,主动：造成72点剑系伤害，获得【剑气】*24
id:1900,御灵尺,主动：获得【护罩】*6
id:1901,曲灵尺,主动：获得【护罩】*10
id:1902,化灵尺,主动：获得【护罩】*18
id:1903,玄灵尺,主动：获得【护罩】*24
id:1904,广灵尺,主动：获得【护罩】*36
id:1905,凝碧尺,主动：获得【护罩】*44
id:1906,赤阳尺,主动：获得【护罩】*104
id:1907,玄元尺,主动：获得【护罩】*120
id:1908,嗜魂幡,主动：损失30点生命值，造成60点神识伤害，自身神识+10
id:1909,嗜魂幡,主动：损失10点生命值，造成20点神识伤害，自身神识+4
id:2000,天金道袍,提升金系权重3点
id:2001,辟木道袍,受到的木系伤害-9
id:2002,凝鑫道袍,提升金系权重18点
id:2100,灵木道袍,提升木系权重3点
id:2101,辟水道袍,受到的水系伤害-9
id:2102,玄木道袍,提升木系权重18点
id:2200,宁水道袍,提升水系权重3点
id:2201,辟火道袍,受到的火系伤害-9
id:2202,玄水道袍,提升水系权重18点
id:2300,炼火道袍,提升火系权重3点
id:2301,辟金道袍,受到的金系伤害-9
id:2302,玄火道袍,提升火系权重18点
id:2400,唤沙道袍,提升土系权重3点
id:2401,辟水道袍,受到的水系伤害-9
id:2402,玄尘道袍,提升土系权重18点
id:2403,地灵甲,回合结束时，获得【减伤】*2【护罩】*8
id:2404,岩玉甲,回合结束时，获得【减伤】*2【护罩】*14
id:2405,坤金甲,回合结束时，获得【减伤】*4【护罩】*10
id:2406,玄晶甲,回合结束时，获得【减伤】*6【护罩】*6
id:2407,罗厄甲,回合结束时，获得【减伤】*4【护罩】*24
id:2408,玄黄甲,回合结束时，获得【减伤】*8【护罩】*12
id:2409,皇极甲,回合结束时，获得【减伤】*4【护罩】*40
id:2410,青灵法袍,遁速+3，回合结束时获得【护罩】*5
id:2411,破旧法袍,回合结束时，获得【护罩】*6
id:2500,辟金珠,每次受到伤害时，移除自身【易伤】*1
id:2501,天鑫印,回合结束吸收一点金系灵气
id:2600,辟木珠,每次使用技能时，移除自身【缠绕】*1
id:2601,辟毒珠,回合开始时，移除自身【中毒】*12
id:2602,竹枫印,回合结束吸收一点木系灵气
id:2700,辟水珠,每次使用技能时，移除自身【霜冻】*1
id:2701,浪魄印,回合结束吸收一点水系灵气
id:2800,辟火珠,回合结束时，移除自身【灼烧】*12
id:2801,化火印,回合结束吸收一点火系灵气
id:2802,涅槃印,回合结束生命值小于等于25%，吸收两点火系灵气
id:2803,化焰珠,回合结束，获得【化焰】*3
id:2900,尘珠,回合开始，获得【尘】*24
id:2901,厚土印,回合结束吸收一点土系灵气
id:2902,融血玄灵印,回合结束，自身受到6点伤害，吸收两点灵气
id:2903,玄阳化蕴珠,回合结束，自身受到15点伤害，获得【护罩】*75
id:2981,一包竹山秘籍,当你的储物袋里出现了这个，就说明宁州告别了持续千年的安定。
id:2982,一包竹山秘籍,当你的储物袋里出现了这个，就说明宁州告别了持续千年的安定。
id:2983,一包竹山秘籍,当你的储物袋里出现了这个，就说明宁州告别了持续千年的安定。
id:2984,一包竹山秘籍,当你的储物袋里出现了这个，就说明宁州告别了持续千年的安定。
id:2985,一包金虹秘籍,当你的储物袋里出现了这个，就说明宁州告别了持续千年的安定。
id:2986,一包金虹秘籍,当你的储物袋里出现了这个，就说明宁州告别了持续千年的安定。
id:2987,一包金虹秘籍,当你的储物袋里出现了这个，就说明宁州告别了持续千年的安定。
id:2988,一包金虹秘籍,当你的储物袋里出现了这个，就说明宁州告别了持续千年的安定。
id:2989,一包星河秘籍,当你的储物袋里出现了这个，就说明宁州告别了持续千年的安定。
id:2990,一包星河秘籍,当你的储物袋里出现了这个，就说明宁州告别了持续千年的安定。
id:2991,一包星河秘籍,当你的储物袋里出现了这个，就说明宁州告别了持续千年的安定。
id:2992,一包星河秘籍,当你的储物袋里出现了这个，就说明宁州告别了持续千年的安定。
id:2993,一包离火秘籍,当你的储物袋里出现了这个，就说明宁州告别了持续千年的安定。
id:2994,一包离火秘籍,当你的储物袋里出现了这个，就说明宁州告别了持续千年的安定。
id:2995,一包离火秘籍,当你的储物袋里出现了这个，就说明宁州告别了持续千年的安定。
id:2996,一包离火秘籍,当你的储物袋里出现了这个，就说明宁州告别了持续千年的安定。
id:2997,一包化尘秘籍,当你的储物袋里出现了这个，就说明宁州告别了持续千年的安定。
id:2998,一包化尘秘籍,当你的储物袋里出现了这个，就说明宁州告别了持续千年的安定。
id:2999,一包化尘秘籍,当你的储物袋里出现了这个，就说明宁州告别了持续千年的安定。
id:3000,一包化尘秘籍,当你的储物袋里出现了这个，就说明宁州告别了持续千年的安定。
id:3001,金刃,1.0
id:3002,真金印,2.0
id:3003,金罡斩,3.0
id:3004,破势,4.0
id:3005,金光罩,5.0
id:3006,纵地金光,6.0
id:3007,千刃术,7.0
id:3008,千钧斩,8.0
id:3009,刺穴,9.0
id:3010,金虹贯日,10.0
id:3011,截脉,12.0
id:3012,归元剑气,13.0
id:3013,蓄势,14.0
id:3014,金元剑芒,15.0
id:3015,紫莲金影罩,16.0
id:3016,灵光印,17.0
id:3017,石肤术,18.0
id:3018,分金印,19.0
id:3019,紫微印,20.0
id:3020,金芒术,21.0
id:3021,寸芒,22.0
id:3022,灵体印,23.0
id:3023,巨灵爪,24.0
id:3024,催心爪,25.0
id:3025,逆脉,26.0
id:3026,气旋斩,27.0
id:3027,覆体印,28.0
id:3028,通穴,29.0
id:3029,振穴,30.0
id:3101,木刺,101.0
id:3102,回春印,102.0
id:3103,树牢术,103.0
id:3104,寄杖诀,104.0
id:3105,木壁术,105.0
id:3106,青蛇劲,106.0
id:3107,腐毒咒,107.0
id:3108,引毒咒,108.0
id:3109,缠木,109.0
id:3110,五毒咒,110.0
id:3111,寄生引血术,111.0
id:3112,太青妙法,112.0
id:3113,三相生灵诀,113.0
id:3114,三相脱骨诀,114.0
id:3115,乙木妙法,115.0
id:3116,障毒诀,116.0
id:3117,引火,117.0
id:3118,驱藤术,119.0
id:3119,春丝印,120.0
id:3120,灵藤印,121.0
id:3121,汲血藤,122.0
id:3122,上清印,123.0
id:3123,花舞术,124.0
id:3124,落英,125.0
id:3125,乱藤术,126.0
id:3126,鹤喙针,127.0
id:3127,飞针术,128.0
id:3128,鹤回翔,129.0
id:3129,化血毒掌,131.0
id:3130,缠丝咒,132.0
id:3201,水枪,201.0
id:3202,生水印,202.0
id:3203,水龙弹,203.0
id:3204,御水诀,204.0
id:3205,水罩术,205.0
id:3206,滥觞,206.0
id:3207,幻雾术,207.0
id:3208,避火诀,208.0
id:3209,取月壶天,209.0
id:3210,寒霜刺,210.0
id:3211,玄冰刺,211.0
id:3212,怒涛,212.0
id:3213,水疗术,213.0
id:3214,凝水归流,214.0
id:3215,雾隐术,215.0
id:3216,雾相化身,216.0
id:3217,云雾剑法,217.0
id:3218,玄冰凝骨术,218.0
id:3219,冰雨术,219.0
id:3220,惊涛剑诀,220.0
id:3221,怒水天殇,221.0
id:3222,破釜沉舟,222.0
id:3223,柔水无痕,223.0
id:3224,静水无波,224.0
id:3225,否极泰来,225.0
id:3226,泰然无波,226.0
id:3227,刚柔并济,227.0
id:3228,活血术,228.0
id:3229,玄冰劲,229.0
id:3230,璇水印,230.0
id:3231,罡水印,231.0
id:3232,怒水印,232.0
id:3233,善水印,233.0
id:3234,浪击,234.0
id:3301,火弹,301.0
id:3302,聚火印,302.0
id:3303,吐焰诀,303.0
id:3304,焚气术,304.0
id:3305,火墙术,305.0
id:3306,三昧真火,306.0
id:3307,红莲业焱,307.0
id:3308,离火绝炎,308.0
id:3309,化焰术,309.0
id:3310,戾火,310.0
id:3311,炙炎轮回,311.0
id:3312,焚灵诀,312.0
id:3313,吞焰诀,313.0
id:3314,焰灵招徕,314.0
id:3315,极阴冷火,315.0
id:3316,焚木诀,316.0
id:3317,坐火诀,317.0
id:3318,避毒真焱,318.0
id:3319,返火吐焰诀,319.0
id:3320,火蛇术,320.0
id:3321,返火移景术,321.0
id:3322,烈火掌,322.0
id:3323,炙火印,323.0
id:3324,丹阳印,324.0
id:3325,业火印,325.0
id:3326,火铃印,326.0
id:3327,燃火术,327.0
id:3328,爆燃,328.0
id:3329,聚焰,329.0
id:3330,炙脉指,330.0
id:3331,驱寒印,331.0
id:3332,浴火咒,332.0
id:3333,大吞焰术,333.0
id:3334,蚀骨毒火,334.0
id:3335,九天劫火,335.0
id:3336,燃尽,336.0
id:3401,落石,401.0
id:3402,玄土印,402.0
id:3403,地龙术,403.0
id:3404,土墙术,404.0
id:3405,尘衣,405.0
id:3406,连岳,406.0
id:3407,地煞凝结,407.0
id:3408,透石术,408.0
id:3409,开山诀,409.0
id:3410,万土归尘,410.0
id:3411,万尘化土,411.0
id:3412,引力术,412.0
id:3413,落岩术,413.0
id:3414,聚尘术,414.0
id:3415,五丁开山诀,415.0
id:3416,流沙术,416.0
id:3417,崩岩术,417.0
id:3418,大陨岩术,418.0
id:3419,天崩地裂,419.0
id:3420,天星若雨,420.0
id:3421,沙缚,421.0
id:3422,沙牢,422.0
id:3423,沙葬,423.0
id:3424,还尘,424.0
id:3425,化沙,425.0
id:3426,卸甲,426.0
id:3427,熔火盾,427.0
id:3428,重岩决,428.0
id:3429,厚土印,429.0
id:3430,三山印,430.0
id:3431,绝尘,431.0
id:3432,铁甲咒,432.0
id:3433,灵沙术,433.0
id:3434,天引术,434.0
id:3501,运气术,501.0
id:3502,五行颠倒术,502.0
id:3503,蓄力,503.0
id:3504,聚气,504.0
id:3505,斡旋造化,505.0
id:3506,混元一气诀,506.0
id:3507,大须弥术,507.0
id:3508,枯灵劲,508.0
id:3509,祭血罩,509.0
id:3510,夺灵术,510.0
id:3511,阴阳劲,511.0
id:3512,隐虚破,512.0
